,datetime_utc,o3_dpw,o3_pema,o3_pha,mean_o3,std_o3,rsd_o3
1941,2025-03-07 21:00:00+00:00,52.5202,51.7578,51.420116666666665,51.89937222222222,0.563540464960725,0.010858329124825691
1952,2025-03-08 08:00:00+00:00,48.711283333333334,47.63321666666666,47.631049999999995,47.99185,0.6230484848263805,0.012982381067334986
1953,2025-03-08 09:00:00+00:00,46.53805,46.306583333333336,45.26271666666666,46.035783333333335,0.6794249463905346,0.014758626815818302
1957,2025-03-08 13:00:00+00:00,45.2273,44.8901,44.78725,44.96821666666667,0.23019048814695503,0.0051189596833086555
1958,2025-03-08 14:00:00+00:00,48.32071666666666,48.214283333333334,48.36898333333333,48.30132777777777,0.07915155879235128,0.001638703580914124
1959,2025-03-08 15:00:00+00:00,50.10525,48.98835,49.150933333333334,49.41484444444444,0.603409652247895,0.012211100915764078
1960,2025-03-08 16:00:00+00:00,51.33081666666667,49.90240000000001,50.4058,50.5463388888889,0.724504608591532,0.014333473492197725
1961,2025-03-08 17:00:00+00:00,52.20785,51.372033333333334,51.6363,51.738727777777775,0.4272188693337583,0.008257235685591257
1962,2025-03-08 18:00:00+00:00,52.954883333333335,51.71888333333333,51.98875,52.22083888888889,0.6498637851575213,0.01244452978896503
1963,2025-03-08 19:00:00+00:00,51.69075,50.96028333333334,51.09908333333333,51.250038888888895,0.3879253440967635,0.007569269263147163
1964,2025-03-08 20:00:00+00:00,52.723933333333335,51.579033333333335,51.2867,51.86322222222222,0.7595935801710254,0.014646093081458342
1980,2025-03-09 12:00:00+00:00,43.451966666666664,42.75168333333333,43.649483333333336,43.284377777777785,0.4717793305765528,0.010899528994009578
1982,2025-03-09 14:00:00+00:00,48.4048,47.13785,47.49381666666667,47.67882222222223,0.6534224263941479,0.01370466794143249
1983,2025-03-09 15:00:00+00:00,48.617066666666666,47.4172,47.9032,47.97915555555556,0.6035287393813641,0.012578977941421498
1986,2025-03-09 18:00:00+00:00,51.37435,50.4831,51.324349999999995,51.0606,0.5007541188048268,0.009807055122831044
1988,2025-03-09 20:00:00+00:00,50.29176666666667,49.30975,49.69475,49.76542222222222,0.49480815034531134,0.009942810253589288
